,code,l,L,circuit_type,decoder,noise_model,n_cycles,which_detectors,error_rates,n_errorsamples,n_fail_cutoff,p,n_shots,n_fails,dec_time_per_shot
2681,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,0,0.0383887528503699
2682,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.005,1000,65,0.256731894598
2683,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0058,1000,110,0.266984202122
2684,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0067,1000,178,0.293100826546
2685,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0075,1000,216,0.31406786124
2686,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0083,1000,312,0.2954144476
2687,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0092,1000,379,0.3032215929419999
2688,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.01,1000,448,0.304721091214
2689,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0108,1000,511,0.3049558309369999
2690,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0117,1000,589,0.311463247457
2691,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,threshold,1000,1000,0.0125,1000,663,0.319722240448
2692,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.005,100,6,0.29701248143
2693,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,12,0.32291795561
2694,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,12,0.29787649184
2695,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,19,0.2819254378
2696,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,26,0.2913889310299999
2697,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,32,0.29137662698
2698,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.01,100,44,0.30326910376
2699,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,56,0.29570175486
2700,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,59,0.30831162686
2701,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,68,0.2964528032799999
2712,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,1.0528073092e-05
2713,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,1.0394758326e-05
2714,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,1.0436834761e-05
